*HD Name*,*Sp. Type*,*Peculiarities*,*V mag.*,*Merged Spectrum*,*SPI*,*346B 304-388 nm*(*.tar.gz),*437B 373-499 nm*(*.tar.gz),*580L 476-577 nm*(*.tar.gz),*580U 584-684 nm*(*.tar.gz),*860L 660-854 nm*(*.tar.gz),*860U 866-1040 nm*(*.tar.gz),*Unmerged*(*.tar.gz),dd/mm/yy,QC
HD 114837,F7IV,hpm,4.92,hd114837.tfits text,Plot,hd114837,hd114837,hd114837,hd114837,hd114837,hd114837,hd114837,26/02/02,log
HD 38393,F7V,hpm,3.60,hd38393.tfits text,Plot,hd38393,hd38393,hd38393,hd38393,QC reject,hd38393,hd38393,19/11/01,log
HD 91889,F7V,hpm,5.70,hd91889.tfits text,Plot,hd91889,hd91889,hd91889,QC reject,hd91889,hd91889,hd91889,20/11/01,log
HD 76932,F7/F8IV/V,hpm,5.86,hd76932.tfits text,Plot,hd76932,hd76932,hd76932,hd76932,hd76932,hd76932,hd76932,13/03/01,log
HD 54605,F8Iab,v,1.84,hd54605.tfits text,Plot,hd54605,hd54605,hd54605,hd54605,hd54605,hd54605,hd54605,29/11/02,log
HD 136202,F8III-IV,BYDra,5.10,hd136202.tfits text,Plot,hd136202,hd136202,hd136202,hd136202,hd136202,hd136202,hd136202,22/02/02,log
HD 122563,F8IV,v,6.20,hd122563.tfits text,Plot,hd122563,hd122563,hd122563,hd122563,hd122563,hd122563,hd122563,18/02/02,log
HD 20010,F8IV,hpm,3.85,hd20010.tfits text,Plot,hd20010,hd20010,hd20010,hd20010,hd20010,hd20010,hd20010,06/03/02,log
HD 7570,F8V,hpm,4.96,hd7570.tfits text,Plot,hd7570,hd7570,hd7570,hd7570,hd7570,hd7570,hd7570,22/11/01,log
HD 136351,F8V,hpm,5.00,hd136351.tfits text,Plot,hd136351,hd136351,hd136351,hd136351,hd136351,hd136351,hd136351,22/02/02,log
HD 30562,F8V,hpm,5.77,hd30562.tfits text,Plot,hd30562,hd30562,hd30562,hd30562,hd30562,hd30562,hd30562,28/02/02,log
HD 189340,F8V,hpm,5.88,hd189340.tfits text,Plot,hd189340,hd189340,hd189340,hd189340,hd189340,hd189340,hd189340,27/07/01,log
HD 45067,F8V,hpm,5.90,hd45067.tfits text,Plot,hd45067,hd45067,hd45067,hd45067,hd45067,hd45067,hd45067,29/10/01,log
HD 101947,F9Ia,d,05.02,hd101947.tfits text,Plot,hd101947,hd101947,hd101947,hd101947,hd101947,hd101947,hd101947,24/07/01,log
HD 146143,F9Ia,,4.98,hd146143.tfits text,Plot,hd146143,hd146143,hd146143,hd146143,hd146143,hd146143,hd146143,09/03/03,log
HD 78791,F9II,,4.48,hd78791.tfits text,Plot,hd78791,hd78791,hd78791,hd78791,hd78791,hd78791,hd78791,07/12/02,log
HD 22484,F9IV-V,hpm,4.28,hd22484.tfits text,Plot,hd22484,hd22484,hd22484,hd22484,hd22484,hd22484,hd22484,13/10/02,log
HD 1581,F9V,hpm,4.20,hd1581.tfits text,Plot,hd1581,hd1581,hd1581,hd1581,hd1581,hd1581,hd1581,20/11/01,log
HD 10647,F9V,,5.52,hd10647.tfits text,Plot,hd10647,hd10647,hd10647,hd10647,hd10647,hd10647,hd10647,22/11/01,log
